"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
1,"Bratislavský kraj",101,"Bratislava",345,345,100.00,393344,280192,71.23,280083,99.96,278682,99.46
1,"Bratislavský kraj",102,"Malacky",59,59,100.00,63581,41866,65.84,41859,99.98,41593,99.34
1,"Bratislavský kraj",103,"Pezinok",55,55,100.00,55360,40251,72.70,40224,99.93,39973,99.30
1,"Bratislavský kraj",104,"Senec",77,77,100.00,79339,57358,72.29,57348,99.98,56943,99.27
2,"Trnavský kraj",201,"Dunajská Streda",126,126,100.00,104939,45671,43.52,45657,99.96,45221,99.01
2,"Trnavský kraj",202,"Galanta",84,84,100.00,78392,43592,55.60,43576,99.96,43222,99.15
2,"Trnavský kraj",203,"Piešťany",63,63,100.00,51825,34658,66.87,34648,99.97,34428,99.33
2,"Trnavský kraj",204,"Senica",97,97,100.00,91082,58511,64.23,58495,99.97,58087,99.27
2,"Trnavský kraj",205,"Trnava",158,158,100.00,143454,98720,68.81,98693,99.97,98116,99.38
3,"Trenčiansky kraj",301,"Bánovce nad Bebravou",62,62,100.00,28882,19757,68.40,19755,99.98,19623,99.32
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",99,99,100.00,71935,48442,67.34,48438,99.99,48066,99.22
3,"Trenčiansky kraj",303,"Považská Bystrica",124,124,100.00,85565,58697,68.59,58690,99.98,58269,99.27
3,"Trenčiansky kraj",304,"Prievidza",183,183,100.00,143021,93623,65.46,93592,99.96,93003,99.33
3,"Trenčiansky kraj",305,"Trenčín",176,176,100.00,140683,97750,69.48,97550,99.79,96742,98.96
4,"Nitriansky kraj",401,"Komárno",107,107,100.00,82019,32478,39.59,32476,99.99,32136,98.94
4,"Nitriansky kraj",402,"Levice",160,160,100.00,89699,49530,55.21,49524,99.98,49221,99.37
4,"Nitriansky kraj",403,"Nitra",212,212,100.00,168023,111855,66.57,111832,99.97,111247,99.45
4,"Nitriansky kraj",404,"Nové Zámky",134,134,100.00,112478,61291,54.49,61278,99.97,60925,99.40
4,"Nitriansky kraj",405,"Šaľa",42,42,100.00,41240,22066,53.50,22065,99.99,21926,99.36
4,"Nitriansky kraj",406,"Topoľčany",88,88,100.00,58028,38715,66.71,38708,99.98,38430,99.26
5,"Žilinský kraj",501,"Čadca",77,77,100.00,71696,45887,64.00,45880,99.98,45642,99.46
5,"Žilinský kraj",502,"Dolný Kubín",43,43,100.00,30599,20456,66.85,20449,99.96,20313,99.30
5,"Žilinský kraj",503,"Liptovský Mikuláš",95,95,100.00,59581,39862,66.90,39585,99.30,39285,98.55
5,"Žilinský kraj",504,"Martin",138,138,100.00,89766,60962,67.91,60957,99.99,60518,99.27
5,"Žilinský kraj",505,"Námestovo",84,84,100.00,74614,47640,63.84,47619,99.95,47233,99.14
5,"Žilinský kraj",506,"Ružomberok",59,59,100.00,46084,30259,65.66,30252,99.97,30043,99.28
5,"Žilinský kraj",507,"Žilina",219,219,100.00,180887,126178,69.75,126146,99.97,125444,99.41
6,"Banskobystrický kraj",601,"Banská Bystrica",130,130,100.00,87343,60198,68.92,60185,99.97,59858,99.43
6,"Banskobystrický kraj",602,"Brezno",65,65,100.00,47922,28518,59.50,28511,99.97,28334,99.35
6,"Banskobystrický kraj",603,"Lučenec",134,134,100.00,72646,36645,50.44,36636,99.97,36445,99.45
6,"Banskobystrický kraj",604,"Rimavská Sobota",217,217,100.00,91720,39683,43.26,39675,99.97,39430,99.36
6,"Banskobystrický kraj",605,"Veľký Krtíš",83,83,100.00,33394,17044,51.03,17042,99.98,16948,99.43
6,"Banskobystrický kraj",606,"Zvolen",165,165,100.00,96961,62629,64.59,62624,99.99,62193,99.30
6,"Banskobystrický kraj",607,"Žiar nad Hronom",114,114,100.00,69972,44890,64.15,44884,99.98,44595,99.34
7,"Prešovský kraj",701,"Bardejov",116,116,100.00,58830,35165,59.77,35163,99.99,34969,99.44
7,"Prešovský kraj",702,"Humenné",165,165,100.00,84408,47958,56.81,47928,99.93,47632,99.32
7,"Prešovský kraj",703,"Kežmarok",67,67,100.00,53490,26375,49.30,26374,99.99,26160,99.18
7,"Prešovský kraj",704,"Poprad",139,139,100.00,107532,62679,58.28,62669,99.98,62279,99.36
7,"Prešovský kraj",705,"Prešov",232,232,100.00,177750,106336,59.82,106303,99.96,105608,99.31
7,"Prešovský kraj",706,"Stará Ľubovňa",62,62,100.00,39647,22156,55.88,22151,99.97,21988,99.24
7,"Prešovský kraj",707,"Stropkov",52,52,100.00,15617,9117,58.37,9116,99.98,9063,99.40
7,"Prešovský kraj",708,"Svidník",78,78,100.00,24851,14442,58.11,14442,100.00,14361,99.43
7,"Prešovský kraj",709,"Vranov nad Topľou",93,93,100.00,60439,32221,53.31,32208,99.95,31957,99.18
8,"Košický kraj",801,"Košice",192,192,100.00,184214,108669,58.99,108644,99.97,107990,99.37
8,"Košický kraj",802,"Košice - okolie",151,151,100.00,100426,52824,52.59,52819,99.99,52410,99.21
8,"Košický kraj",803,"Michalovce",183,183,100.00,102154,51416,50.33,51414,99.99,51139,99.46
8,"Košický kraj",804,"Rožňava",88,88,100.00,45991,21172,46.03,21171,99.99,21026,99.31
8,"Košický kraj",805,"Spišská Nová Ves",118,118,100.00,96996,49571,51.10,49563,99.98,49240,99.33
8,"Košický kraj",806,"Trebišov",128,128,100.00,80278,35304,43.97,35296,99.97,35008,99.16
