"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",34,34,100.00,41812,30817,73.70,30809,99.97,30644,99.43
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",102,102,100.00,103749,73093,70.45,73066,99.96,72660,99.40
1,"Bratislavský kraj",101,"Bratislava",103,"Bratislava III",56,56,100.00,61658,44360,71.94,44332,99.93,44122,99.46
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",88,88,100.00,85903,61851,72.00,61831,99.96,61518,99.46
1,"Bratislavský kraj",101,"Bratislava",105,"Bratislava V",65,65,100.00,100222,70071,69.91,70045,99.96,69738,99.52
1,"Bratislavský kraj",102,"Malacky",106,"Malacky",59,59,100.00,63581,41866,65.84,41859,99.98,41593,99.34
1,"Bratislavský kraj",103,"Pezinok",107,"Pezinok",55,55,100.00,55360,40251,72.70,40224,99.93,39973,99.30
1,"Bratislavský kraj",104,"Senec",108,"Senec",77,77,100.00,79339,57358,72.29,57348,99.98,56943,99.27
2,"Trnavský kraj",201,"Dunajská Streda",201,"Dunajská Streda",126,126,100.00,104939,45671,43.52,45657,99.96,45221,99.01
2,"Trnavský kraj",202,"Galanta",202,"Galanta",84,84,100.00,78392,43592,55.60,43576,99.96,43222,99.15
2,"Trnavský kraj",203,"Piešťany",204,"Piešťany",63,63,100.00,51825,34658,66.87,34648,99.97,34428,99.33
2,"Trnavský kraj",204,"Senica",205,"Senica",53,53,100.00,52018,33504,64.40,33490,99.95,33282,99.33
2,"Trnavský kraj",204,"Senica",206,"Skalica",44,44,100.00,39064,25007,64.01,25005,99.99,24805,99.19
2,"Trnavský kraj",205,"Trnava",203,"Hlohovec",45,45,100.00,35767,23889,66.79,23885,99.98,23711,99.25
2,"Trnavský kraj",205,"Trnava",207,"Trnava",113,113,100.00,107687,74831,69.48,74808,99.96,74405,99.43
3,"Trenčiansky kraj",301,"Bánovce nad Bebravou",301,"Bánovce nad Bebravou",62,62,100.00,28882,19757,68.40,19755,99.98,19623,99.32
