"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Kód obce","Názov obce","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",34,34,100.00,41812,30817,73.70,30809,99.97,30644,99.43
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",16,16,100.00,18513,12543,67.75,12535,99.93,12466,99.38
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529320,"Bratislava - Ružinov",73,73,100.00,68880,50019,72.61,50004,99.97,49723,99.40
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529338,"Bratislava - Vrakuňa",13,13,100.00,16356,10531,64.38,10527,99.96,10471,99.43
1,"Bratislavský kraj",101,"Bratislava",103,"Bratislava III",529346,"Bratislava - Nové Mesto",32,32,100.00,35955,26639,74.08,26629,99.96,26501,99.48
1,"Bratislavský kraj",101,"Bratislava",103,"Bratislava III",529354,"Bratislava - Rača",19,19,100.00,20954,14406,68.75,14388,99.87,14327,99.45
1,"Bratislavský kraj",101,"Bratislava",103,"Bratislava III",529362,"Bratislava - Vajnory",5,5,100.00,4749,3315,69.80,3315,100.00,3294,99.36
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",529401,"Bratislava - Devín",2,2,100.00,1570,1213,77.26,1212,99.91,1209,99.67
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",529371,"Bratislava - Devínska Nová Ves",13,13,100.00,13900,9722,69.94,9717,99.94,9657,99.33
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",529389,"Bratislava - Dúbravka",32,32,100.00,29684,20675,69.65,20662,99.93,20541,99.35
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",529397,"Bratislava - Karlova Ves",30,30,100.00,28741,20956,72.91,20955,99.99,20864,99.56
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",529419,"Bratislava - Lamač",6,6,100.00,6537,4894,74.86,4894,100.00,4874,99.59
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",529427,"Bratislava - Záhorská Bystrica",5,5,100.00,5471,4391,80.25,4391,100.00,4373,99.59
