"Kód kraja","Názov kraja","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
1,"Bratislavský kraj",1,"Ivan","Korčok",275229,65.97,222365,67.71,52864,59.53
1,"Bratislavský kraj",2,"Peter","Pellegrini",141962,34.02,106035,32.28,35927,40.46
2,"Trnavský kraj",1,"Ivan","Korčok",138101,49.48,67960,52.45,70141,46.90
2,"Trnavský kraj",2,"Peter","Pellegrini",140973,50.51,61589,47.54,79384,53.09
3,"Trenčiansky kraj",1,"Ivan","Korčok",131598,41.68,74648,45.62,56950,37.44
3,"Trenčiansky kraj",2,"Peter","Pellegrini",184105,58.31,88969,54.37,95136,62.55
4,"Nitriansky kraj",1,"Ivan","Korčok",129507,41.25,68099,47.54,61408,35.98
4,"Nitriansky kraj",2,"Peter","Pellegrini",184378,58.74,75129,52.45,109249,64.01
5,"Žilinský kraj",1,"Ivan","Korčok",161867,43.92,82769,47.50,79098,40.71
5,"Žilinský kraj",2,"Peter","Pellegrini",206611,56.07,91457,52.49,115154,59.28
6,"Banskobystrický kraj",1,"Ivan","Korčok",112205,38.98,67111,44.46,45094,32.94
6,"Banskobystrický kraj",2,"Peter","Pellegrini",175598,61.01,83818,55.53,91780,67.05
7,"Prešovský kraj",1,"Ivan","Korčok",150814,42.60,79398,47.47,71416,38.23
7,"Prešovský kraj",2,"Peter","Pellegrini",203203,57.39,87858,52.52,115345,61.76
8,"Košický kraj",1,"Ivan","Korčok",144388,45.57,93366,52.15,51022,37.02
8,"Košický kraj",2,"Peter","Pellegrini",172425,54.42,85642,47.84,86783,62.97
