"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
1,"Bratislavský kraj",101,"Bratislava",1,"Ivan","Korčok",192289,68.99,192289,68.99,0,0.00
1,"Bratislavský kraj",101,"Bratislava",2,"Peter","Pellegrini",86393,31.00,86393,31.00,0,0.00
1,"Bratislavský kraj",102,"Malacky",1,"Ivan","Korčok",22320,53.66,9490,57.01,12830,51.42
1,"Bratislavský kraj",102,"Malacky",2,"Peter","Pellegrini",19273,46.33,7155,42.98,12118,48.57
1,"Bratislavský kraj",103,"Pezinok",1,"Ivan","Korčok",23549,58.91,14005,61.63,9544,55.32
1,"Bratislavský kraj",103,"Pezinok",2,"Peter","Pellegrini",16424,41.08,8716,38.36,7708,44.67
1,"Bratislavský kraj",104,"Senec",1,"Ivan","Korčok",37071,65.10,6581,63.57,30490,65.44
1,"Bratislavský kraj",104,"Senec",2,"Peter","Pellegrini",19872,34.89,3771,36.42,16101,34.55
2,"Trnavský kraj",201,"Dunajská Streda",1,"Ivan","Korčok",20964,46.35,8522,48.77,12442,44.83
2,"Trnavský kraj",201,"Dunajská Streda",2,"Peter","Pellegrini",24257,53.64,8949,51.22,15308,55.16
2,"Trnavský kraj",202,"Galanta",1,"Ivan","Korčok",19970,46.20,8741,49.37,11229,44.00
2,"Trnavský kraj",202,"Galanta",2,"Peter","Pellegrini",23252,53.79,8961,50.62,14291,55.99
2,"Trnavský kraj",203,"Piešťany",1,"Ivan","Korčok",16911,49.11,10017,55.10,6894,42.42
2,"Trnavský kraj",203,"Piešťany",2,"Peter","Pellegrini",17517,50.88,8161,44.89,9356,57.57
2,"Trnavský kraj",204,"Senica",1,"Ivan","Korčok",31292,53.87,15508,54.72,15784,53.05
2,"Trnavský kraj",204,"Senica",2,"Peter","Pellegrini",26795,46.12,12830,45.27,13965,46.94
2,"Trnavský kraj",205,"Trnava",1,"Ivan","Korčok",48964,49.90,25172,52.59,23792,47.34
2,"Trnavský kraj",205,"Trnava",2,"Peter","Pellegrini",49152,50.09,22688,47.40,26464,52.65
3,"Trenčiansky kraj",301,"Bánovce nad Bebravou",1,"Ivan","Korčok",7243,36.91,3474,40.02,3769,34.44
3,"Trenčiansky kraj",301,"Bánovce nad Bebravou",2,"Peter","Pellegrini",12380,63.08,5206,59.97,7174,65.55
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",1,"Ivan","Korčok",21719,45.18,11338,48.59,10381,41.96
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",2,"Peter","Pellegrini",26347,54.81,11992,51.40,14355,58.03
3,"Trenčiansky kraj",303,"Považská Bystrica",1,"Ivan","Korčok",21777,37.37,12604,42.11,9173,32.36
3,"Trenčiansky kraj",303,"Považská Bystrica",2,"Peter","Pellegrini",36492,62.62,17327,57.88,19165,67.63
3,"Trenčiansky kraj",304,"Prievidza",1,"Ivan","Korčok",36396,39.13,18369,42.08,18027,36.52
3,"Trenčiansky kraj",304,"Prievidza",2,"Peter","Pellegrini",56607,60.86,25278,57.91,31329,63.47
3,"Trenčiansky kraj",305,"Trenčín",1,"Ivan","Korčok",44463,45.96,28863,49.73,15600,40.29
3,"Trenčiansky kraj",305,"Trenčín",2,"Peter","Pellegrini",52279,54.03,29166,50.26,23113,59.70
4,"Nitriansky kraj",401,"Komárno",1,"Ivan","Korčok",11765,36.61,7901,42.37,3864,28.64
4,"Nitriansky kraj",401,"Komárno",2,"Peter","Pellegrini",20371,63.38,10746,57.62,9625,71.35
4,"Nitriansky kraj",402,"Levice",1,"Ivan","Korčok",20790,42.23,10980,48.94,9810,36.62
4,"Nitriansky kraj",402,"Levice",2,"Peter","Pellegrini",28431,57.76,11454,51.05,16977,63.37
4,"Nitriansky kraj",403,"Nitra",1,"Ivan","Korčok",49173,44.20,26100,49.43,23073,39.47
4,"Nitriansky kraj",403,"Nitra",2,"Peter","Pellegrini",62074,55.79,26695,50.56,35379,60.52
4,"Nitriansky kraj",404,"Nové Zámky",1,"Ivan","Korčok",24532,40.26,12551,47.77,11981,34.57
4,"Nitriansky kraj",404,"Nové Zámky",2,"Peter","Pellegrini",36393,59.73,13719,52.22,22674,65.42
4,"Nitriansky kraj",405,"Šaľa",1,"Ivan","Korčok",10393,47.40,5627,55.57,4766,40.38
4,"Nitriansky kraj",405,"Šaľa",2,"Peter","Pellegrini",11533,52.59,4498,44.42,7035,59.61
4,"Nitriansky kraj",406,"Topoľčany",1,"Ivan","Korčok",12854,33.44,4940,38.12,7914,31.06
4,"Nitriansky kraj",406,"Topoľčany",2,"Peter","Pellegrini",25576,66.55,8017,61.87,17559,68.93
5,"Žilinský kraj",501,"Čadca",1,"Ivan","Korčok",13596,29.78,5826,31.71,7770,28.48
5,"Žilinský kraj",501,"Čadca",2,"Peter","Pellegrini",32046,70.21,12542,68.28,19504,71.51
5,"Žilinský kraj",502,"Dolný Kubín",1,"Ivan","Korčok",11021,54.25,5075,55.57,5946,53.17
5,"Žilinský kraj",502,"Dolný Kubín",2,"Peter","Pellegrini",9292,45.74,4057,44.42,5235,46.82
5,"Žilinský kraj",503,"Liptovský Mikuláš",1,"Ivan","Korčok",17975,45.75,9541,48.28,8434,43.19
