"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",1,"Ivan","Korčok",23510,76.71,23510,76.71,0,0.00
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",2,"Peter","Pellegrini",7134,23.28,7134,23.28,0,0.00
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",1,"Ivan","Korčok",50193,69.07,50193,69.07,0,0.00
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",2,"Peter","Pellegrini",22467,30.92,22467,30.92,0,0.00
1,"Bratislavský kraj",101,"Bratislava",103,"Bratislava III",1,"Ivan","Korčok",30730,69.64,30730,69.64,0,0.00
1,"Bratislavský kraj",101,"Bratislava",103,"Bratislava III",2,"Peter","Pellegrini",13392,30.35,13392,30.35,0,0.00
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",1,"Ivan","Korčok",41858,68.04,41858,68.04,0,0.00
1,"Bratislavský kraj",101,"Bratislava",104,"Bratislava IV",2,"Peter","Pellegrini",19660,31.95,19660,31.95,0,0.00
1,"Bratislavský kraj",101,"Bratislava",105,"Bratislava V",1,"Ivan","Korčok",45998,65.95,45998,65.95,0,0.00
1,"Bratislavský kraj",101,"Bratislava",105,"Bratislava V",2,"Peter","Pellegrini",23740,34.04,23740,34.04,0,0.00
1,"Bratislavský kraj",102,"Malacky",106,"Malacky",1,"Ivan","Korčok",22320,53.66,9490,57.01,12830,51.42
1,"Bratislavský kraj",102,"Malacky",106,"Malacky",2,"Peter","Pellegrini",19273,46.33,7155,42.98,12118,48.57
1,"Bratislavský kraj",103,"Pezinok",107,"Pezinok",1,"Ivan","Korčok",23549,58.91,14005,61.63,9544,55.32
1,"Bratislavský kraj",103,"Pezinok",107,"Pezinok",2,"Peter","Pellegrini",16424,41.08,8716,38.36,7708,44.67
1,"Bratislavský kraj",104,"Senec",108,"Senec",1,"Ivan","Korčok",37071,65.10,6581,63.57,30490,65.44
1,"Bratislavský kraj",104,"Senec",108,"Senec",2,"Peter","Pellegrini",19872,34.89,3771,36.42,16101,34.55
2,"Trnavský kraj",201,"Dunajská Streda",201,"Dunajská Streda",1,"Ivan","Korčok",20964,46.35,8522,48.77,12442,44.83
2,"Trnavský kraj",201,"Dunajská Streda",201,"Dunajská Streda",2,"Peter","Pellegrini",24257,53.64,8949,51.22,15308,55.16
2,"Trnavský kraj",202,"Galanta",202,"Galanta",1,"Ivan","Korčok",19970,46.20,8741,49.37,11229,44.00
2,"Trnavský kraj",202,"Galanta",202,"Galanta",2,"Peter","Pellegrini",23252,53.79,8961,50.62,14291,55.99
2,"Trnavský kraj",203,"Piešťany",204,"Piešťany",1,"Ivan","Korčok",16911,49.11,10017,55.10,6894,42.42
2,"Trnavský kraj",203,"Piešťany",204,"Piešťany",2,"Peter","Pellegrini",17517,50.88,8161,44.89,9356,57.57
2,"Trnavský kraj",204,"Senica",205,"Senica",1,"Ivan","Korčok",17160,51.55,5957,49.54,11203,52.70
2,"Trnavský kraj",204,"Senica",205,"Senica",2,"Peter","Pellegrini",16122,48.44,6067,50.45,10055,47.29
2,"Trnavský kraj",204,"Senica",206,"Skalica",1,"Ivan","Korčok",14132,56.97,9551,58.54,4581,53.95
2,"Trnavský kraj",204,"Senica",206,"Skalica",2,"Peter","Pellegrini",10673,43.02,6763,41.45,3910,46.04
2,"Trnavský kraj",205,"Trnava",203,"Hlohovec",1,"Ivan","Korčok",9748,41.11,5574,42.60,4174,39.27
2,"Trnavský kraj",205,"Trnava",203,"Hlohovec",2,"Peter","Pellegrini",13963,58.88,7509,57.39,6454,60.72
2,"Trnavský kraj",205,"Trnava",207,"Trnava",1,"Ivan","Korčok",39216,52.70,19598,56.35,19618,49.50
2,"Trnavský kraj",205,"Trnava",207,"Trnava",2,"Peter","Pellegrini",35189,47.29,15179,43.64,20010,50.49
3,"Trenčiansky kraj",301,"Bánovce nad Bebravou",301,"Bánovce nad Bebravou",1,"Ivan","Korčok",7243,36.91,3474,40.02,3769,34.44
3,"Trenčiansky kraj",301,"Bánovce nad Bebravou",301,"Bánovce nad Bebravou",2,"Peter","Pellegrini",12380,63.08,5206,59.97,7174,65.55
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",303,"Myjava",1,"Ivan","Korčok",6696,47.10,4042,48.64,2654,44.95
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",303,"Myjava",2,"Peter","Pellegrini",7518,52.89,4268,51.35,3250,55.04
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",304,"Nové Mesto nad Váhom",1,"Ivan","Korčok",15023,44.37,7296,48.57,7727,41.03
3,"Trenčiansky kraj",302,"Nové Mesto nad Váhom",304,"Nové Mesto nad Váhom",2,"Peter","Pellegrini",18829,55.62,7724,51.42,11105,58.96
3,"Trenčiansky kraj",303,"Považská Bystrica",306,"Považská Bystrica",1,"Ivan","Korčok",12592,37.17,8696,42.16,3896,29.40
3,"Trenčiansky kraj",303,"Považská Bystrica",306,"Považská Bystrica",2,"Peter","Pellegrini",21283,62.82,11928,57.83,9355,70.59
3,"Trenčiansky kraj",303,"Považská Bystrica",308,"Púchov",1,"Ivan","Korčok",9185,37.65,3908,41.98,5277,34.97
3,"Trenčiansky kraj",303,"Považská Bystrica",308,"Púchov",2,"Peter","Pellegrini",15209,62.34,5399,58.01,9810,65.02
3,"Trenčiansky kraj",304,"Prievidza",305,"Partizánske",1,"Ivan","Korčok",8935,38.15,4336,40.02,4599,36.53
3,"Trenčiansky kraj",304,"Prievidza",305,"Partizánske",2,"Peter","Pellegrini",14485,61.84,6497,59.97,7988,63.46
3,"Trenčiansky kraj",304,"Prievidza",307,"Prievidza",1,"Ivan","Korčok",27461,39.46,14033,42.76,13428,36.51
3,"Trenčiansky kraj",304,"Prievidza",307,"Prievidza",2,"Peter","Pellegrini",42122,60.53,18781,57.23,23341,63.48
3,"Trenčiansky kraj",305,"Trenčín",302,"Ilava",1,"Ivan","Korčok",12072,37.90,8455,40.09,3617,33.61
3,"Trenčiansky kraj",305,"Trenčín",302,"Ilava",2,"Peter","Pellegrini",19774,62.09,12632,59.90,7142,66.38
3,"Trenčiansky kraj",305,"Trenčín",309,"Trenčín",1,"Ivan","Korčok",32391,49.91,20408,55.24,11983,42.86
3,"Trenčiansky kraj",305,"Trenčín",309,"Trenčín",2,"Peter","Pellegrini",32505,50.08,16534,44.75,15971,57.13
4,"Nitriansky kraj",401,"Komárno",401,"Komárno",1,"Ivan","Korčok",11765,36.61,7901,42.37,3864,28.64
4,"Nitriansky kraj",401,"Komárno",401,"Komárno",2,"Peter","Pellegrini",20371,63.38,10746,57.62,9625,71.35
4,"Nitriansky kraj",402,"Levice",402,"Levice",1,"Ivan","Korčok",20790,42.23,10980,48.94,9810,36.62
