"Názov súboru","Názov tabuľky"
"PREZ2024_kolo2_SK_tab_info","Zoznam tabuliek a vysvetliviek"
"PREZ2024_kolo2_SK_tab0a","Zoznam kandidátov na prezidenta Slovenskej republiky"
"PREZ2024_kolo2_SK_tab0b","Územné členenie"
"PREZ2024_kolo2_SK_tab01","Súhrnné výsledky hlasovania za SR"
"PREZ2024_kolo2_SK_tab02a","Súhrnné výsledky hlasovania za kraje"
"PREZ2024_kolo2_SK_tab02b","Súhrnné výsledky hlasovania za územné obvody"
"PREZ2024_kolo2_SK_tab02c","Súhrnné výsledky hlasovania za okresy"
"PREZ2024_kolo2_SK_tab02d","Súhrnné výsledky hlasovania za obce"
"PREZ2024_kolo2_SK_tab02e","Súhrnné výsledky hlasovania za okrsky"
"PREZ2024_kolo2_SK_tab02x","Súhrnné výsledky hlasovania za mestá, mestské časti a obce"
"PREZ2024_kolo2_SK_tab03a","Počet a podiel platných hlasov odovzdaných pre kandidátov za SR"
"PREZ2024_kolo2_SK_tab03b","Počet a podiel platných hlasov odovzdaných pre kandidátov za kraje"
"PREZ2024_kolo2_SK_tab03c","Počet a podiel platných hlasov odovzdaných pre kandidátov za územné obvody"
"PREZ2024_kolo2_SK_tab03d","Počet a podiel platných hlasov odovzdaných pre kandidátov za okresy"
"PREZ2024_kolo2_SK_tab03e","Počet a podiel platných hlasov odovzdaných pre kandidátov za obce"
"PREZ2024_kolo2_SK_tab03f","Počet a podiel platných hlasov odovzdaných pre kandidátov za okrsky"
